ticker,cik,filing_url,revenue_policy
ROP,0000882835,https://www.sec.gov/ix?doc=/Archives/edgar/data/882835/000088283525000008/rop-20241231.htm,Not Found
ATEYY,0001158838,,Not Found
COR,0001140859,https://www.sec.gov/ix?doc=/Archives/edgar/data/1140859/000114085924000177/cor-20240930.htm,Not Found
GM,0001467858,https://www.sec.gov/ix?doc=/Archives/edgar/data/1467858/000146785825000032/gm-20241231.htm,Not Found
BDX,0000010795,https://www.sec.gov/ix?doc=/Archives/edgar/data/10795/000001079524000084/bdx-20240930.htm,Not Found
CMI,0000026172,https://www.sec.gov/ix?doc=/Archives/edgar/data/26172/000002617225000007/cmi-20241231.htm,Not Found
IFNNY,0001107457,,Not Found
FDX,0001048911,https://www.sec.gov/ix?doc=/Archives/edgar/data/1048911/000104891125000011/fdx-20250531.htm,Not Found
NDAQ,0001120193,https://www.sec.gov/ix?doc=/Archives/edgar/data/1120193/000112019325000008/ndaq-20241231.htm,Not Found
MET,0001099219,https://www.sec.gov/ix?doc=/Archives/edgar/data/1099219/000109921925000044/met-20241231.htm,Not Found
MPC,0001510295,https://www.sec.gov/ix?doc=/Archives/edgar/data/1510295/000151029525000012/mpc-20241231.htm,Not Found
E,0001002242,,Not Found
FLUT,0001635327,https://www.sec.gov/ix?doc=/Archives/edgar/data/1635327/000162828025009852/flut-20241231.htm,Not Found
ALL,0000899051,https://www.sec.gov/ix?doc=/Archives/edgar/data/899051/000089905125000015/all-20241231.htm,Not Found
PSX,0001534701,https://www.sec.gov/ix?doc=/Archives/edgar/data/1534701/000153470125000074/psx-20241231.htm,Not Found
SRE,0001032208,https://www.sec.gov/ix?doc=/Archives/edgar/data/1032208/000103220825000012/sre-20241231.htm,Not Found
SLB,0000087347,https://www.sec.gov/ix?doc=/Archives/edgar/data/87347/000095017025007638/slb-20241231.htm,Not Found
O,0000726728,https://www.sec.gov/ix?doc=/Archives/edgar/data/726728/000072672825000055/o-20241231.htm,Not Found
TRP,0001232384,,Not Found
PCAR,0000075362,https://www.sec.gov/ix?doc=/Archives/edgar/data/75362/000095017025023145/pcar-20241231.htm,Not Found
LNG,0000003570,https://www.sec.gov/ix?doc=/Archives/edgar/data/3570/000000357025000033/lng-20241231.htm,Not Found
LHX,0000202058,https://www.sec.gov/ix?doc=/Archives/edgar/data/202058/000020205825000023/hrs-20250103.htm,Not Found
CPNG,0001834584,https://www.sec.gov/ix?doc=/Archives/edgar/data/1834584/000183458425000030/cpng-20241231.htm,Not Found
MFC,0001086888,,Not Found
D,0000715957,https://www.sec.gov/ix?doc=/Archives/edgar/data/715957/000095017025028387/d-20241231.htm,Not Found
