company_name,ticker,cik,exchange,industry,sic_code,latest_revenue,revenue_period,revenue_growth_pct,gpt_revenue_method,gpt_accounting_standard,gpt_recognition_pattern,gpt_confidence,gpt_explanation,revenue_concepts_count,has_filing_context,url,analysis_date
Johnson & Johnson,N/A,200406,N/A,Unknown,Unknown,88821000000,2024-12-29,315.15,ASC 606 Contract-based,ASC 606,Contract-based,8,"Johnson & Johnson's revenue recognition approach aligns with ASC 606, which emphasizes recognizing revenue when control of goods or services is transferred to customers. Given the company's diverse operations, including goods sold and services rendered, the contract-based pattern is appropriate as it reflects the satisfaction of performance obligations in accordance with customer contracts. The significant revenue growth also suggests effective implementation of this standard.",2,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/200406/000020040625000038/jnj-20241229.htm,2025-09-02 16:39:58
COSTCO WHOLESALE CORP /NEW,N/A,909832,N/A,Unknown,Unknown,254453000000,2024-09-01,5.02,Point-in-time,ASC 606,Point-in-time,8,"Costco Wholesale Corp primarily recognizes revenue at the point of sale when goods are sold to customers, which aligns with the ASC 606 standard. The nature of its business model, focused on retail sales, supports this method as revenue is realized upon the transfer of control of goods to the customer.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,2025-09-02 16:40:04
"HOME DEPOT, INC.",N/A,354950,N/A,Unknown,Unknown,66176000000,2010-01-31,-7.17,Point-in-time,Legacy GAAP,Point-in-time,8,"Home Depot recognizes revenue at the point of sale when goods are sold to customers, which aligns with traditional retail practices. Given the lack of complex contracts or long-term service agreements, the revenue recognition follows legacy GAAP principles rather than ASC 606 or IFRS 15, which are more applicable to industries with multi-element arrangements or long-term contracts.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/354950/000035495025000085/hd-20250202.htm,2025-09-02 16:40:31
Bank of America Corporation,N/A,70858,N/A,Unknown,Unknown,101887000000,2024-12-31,3.35,Mixed approach,ASC 606,Transaction-based,7,"Bank of America recognizes revenue from various sources, including interest income and trading gains, which suggests a mixed approach to revenue recognition. The use of ASC 606 indicates that the company follows a contract-based model for certain services while also recognizing revenue at a point in time for transactions like sales and trading activities. This aligns with the diverse nature of its revenue streams.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/70858/000007085825000139/bac-20241231.htm,2025-09-02 16:40:58
Palantir Technologies Inc.,N/A,1321655,N/A,Unknown,Unknown,2865507000,2024-12-31,28.79,ASC 606 Contract-based,ASC 606,Contract-based,8,"Palantir Technologies Inc. recognizes revenue from contracts with customers, which aligns with ASC 606's framework. The definition provided indicates that revenue is recognized upon the satisfaction of performance obligations, suggesting a contract-based approach where revenue is recognized as goods or services are transferred to customers.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1321655/000132165525000022/pltr-20241231.htm,2025-09-02 16:41:04
AbbVie Inc.,N/A,1551152,N/A,Unknown,Unknown,56334000000,2024-12-31,-73.19,ASC 606 Contract-based,ASC 606,Contract-based,8,"AbbVie Inc. likely employs the ASC 606 revenue recognition method, which is designed for companies that enter into contracts with customers to transfer goods or services. Given the nature of AbbVie's operations in the pharmaceutical industry, revenue is typically recognized when control of the product is transferred to the customer, aligning with the contract-based recognition pattern. The significant revenue growth decline may indicate challenges in sales or market conditions affecting contract fulfillment.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1551152/000155115225000020/abbv-20241231.htm,2025-09-02 16:41:31
PROCTER & GAMBLE CO,N/A,80424,N/A,Unknown,Unknown,84284000000,2025-06-30,0.29,ASC 606 Contract-based,ASC 606,Point-in-time,8,"Procter & Gamble's revenue recognition approach aligns with ASC 606, which emphasizes recognizing revenue when control of goods is transferred to the customer, typically at the point of sale. Given the nature of P&G's business, which involves the sale of consumer goods, it is likely that revenue is recognized at the point-in-time when products are delivered to retailers or consumers.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/80424/000008042425000076/pg-20250630.htm,2025-09-02 16:41:59
Chevron Corp,N/A,93410,N/A,Unknown,Unknown,202792000000,2024-12-31,0.92,Mixed approach,ASC 606,Mixed,7,"Chevron Corp likely employs a mixed approach to revenue recognition due to its diverse operations, which may include both point-in-time and over-time recognition methods. Given the nature of the oil and gas industry, revenue from the sale of goods (oil and gas) is typically recognized at a point in time, while certain service contracts may require over-time recognition, aligning with ASC 606's principles.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/93410/000009341025000009/cvx-20241231.htm,2025-09-02 16:42:06
COCA COLA CO,N/A,21344,N/A,Unknown,Unknown,47061000000,2024-12-31,2.86,Point-in-time,ASC 606,Point-in-time,8,"Coca-Cola's revenue primarily comes from the sale of beverages, which typically recognizes revenue at the point of sale when control of the product transfers to the customer. This aligns with ASC 606, which emphasizes recognizing revenue when the performance obligation is satisfied, which in this case occurs at the time of sale. The stable revenue growth further supports this recognition pattern.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/21344/000002134425000011/ko-20241231.htm,2025-09-02 16:42:33
GENERAL ELECTRIC COMPANY,N/A,40545,N/A,Unknown,Unknown,38702000000,2024-12-31,-72.06,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/40545/000004054525000015/ge-20241231.htm,2025-09-02 16:43:18
"T-MOBILE US, INC.",N/A,1283699,N/A,Unknown,Unknown,40604000000,2017-12-31,-73.5,Subscription,ASC 606,Over-time,8,"T-Mobile US, Inc. primarily operates in the telecommunications sector, which typically utilizes a subscription-based revenue model for services rendered. Given the nature of their offerings, revenue is likely recognized over time as services are delivered to customers, aligning with ASC 606 guidelines for recognizing revenue from contracts with customers. The significant revenue growth decline may indicate challenges in customer retention or market competition impacting their subscription base.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1283699/000128369925000012/tmus-20241231.htm,2025-09-02 16:43:24
UnitedHealth Group Incorporated,N/A,731766,N/A,Unknown,Unknown,400278000000,2024-12-31,7.71,Mixed approach,ASC 606,Mixed,8,"UnitedHealth Group's revenue streams include insurance premiums and services rendered, which typically require a mixed approach to revenue recognition. Under ASC 606, revenue is recognized when control of the goods or services is transferred to the customer, which aligns with both point-in-time and over-time recognition patterns depending on the nature of the service or contract. The significant revenue figure and growth rate suggest a structured approach to recognizing revenue across various segments.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/731766/000073176625000063/unh-20241231.htm,2025-09-02 16:44:12
"CISCO SYSTEMS, INC.",N/A,858877,N/A,Unknown,Unknown,49330000000,2018-07-28,-73.96,ASC 606 Contract-based,ASC 606,Contract-based,8,"Cisco Systems, Inc. primarily recognizes revenue from contracts with customers for the sale of goods and services, aligning with the principles of ASC 606. Given the significant revenue figure and the nature of Cisco's business, which includes hardware and software solutions, the contract-based approach is appropriate for recognizing revenue over the duration of customer contracts. The negative revenue growth suggests potential challenges in the market or operational issues that may impact future revenue recognition.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/858877/000085887724000017/csco-20240727.htm,2025-09-02 16:44:59
"ADVANCED MICRO DEVICES, INC",N/A,2488,N/A,Unknown,Unknown,25785000000,2024-12-28,13.69,ASC 606 Contract-based,ASC 606,Contract-based,8,"Advanced Micro Devices, Inc. recognizes revenue from contracts with customers by transferring promised goods or services, aligning with ASC 606 principles. The definition of revenue provided indicates a focus on performance obligations, which is a key aspect of the contract-based recognition method under ASC 606. The growth rate of 13.69% further supports the effectiveness of this approach in capturing revenue from ongoing customer contracts.",2,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248825000012/amd-20241228.htm,2025-09-02 16:45:46
WELLS FARGO & COMPANY/MN,N/A,72971,N/A,Unknown,Unknown,85063000000,2019-12-31,-1.56,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/72971/000007297125000066/wfc-20241231.htm,2025-09-02 16:46:32
Philip Morris International Inc.,N/A,1413329,N/A,Unknown,Unknown,37878000000,2024-12-31,7.69,ASC 606 Contract-based,ASC 606,Point-in-time,8,"Philip Morris International Inc. recognizes revenue from contracts with customers by transferring promised goods or services, which aligns with the ASC 606 framework. The definition provided indicates that revenue is recognized at a point in time when the performance obligation is satisfied, excluding taxes collected, which is typical for sales transactions in this industry.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1413329/000141332925000013/pm-20241231.htm,2025-09-02 16:46:59
MORGAN STANLEY,N/A,895421,N/A,Unknown,Unknown,34275000000,2014-12-31,-77.35,Mixed approach,Legacy GAAP,Transaction-based,7,"Given the nature of Morgan Stanley's revenue, which includes investment and interest income as well as sales and trading gains, a mixed approach is likely employed to recognize revenue from various activities. The significant revenue decline suggests potential challenges in their revenue recognition practices, aligning with legacy GAAP standards prior to the adoption of ASC 606.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/895421/000089542125000304/ms-20241231.htm,2025-09-02 16:47:06
"Salesforce, Inc.",N/A,1108524,N/A,Unknown,Unknown,8391984000,2017-01-31,-72.66,Subscription,ASC 606,Over-time,8,"Salesforce, Inc. primarily operates on a subscription-based model, where revenue is recognized over the term of the subscription as services are rendered. Under ASC 606, this aligns with the over-time recognition pattern, reflecting the continuous transfer of control to customers throughout the subscription period. The significant revenue growth decline may indicate challenges in customer retention or market conditions affecting new subscriptions.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852425000006/crm-20250131.htm,2025-09-02 16:47:13
ABBOTT LABORATORIES,N/A,1800,N/A,Unknown,Unknown,41950000000,2024-12-31,4.59,ASC 606 Contract-based,ASC 606,Contract-based,8,"Abbott Laboratories recognizes revenue from contracts with customers by transferring promised goods or services, which aligns with the principles of ASC 606. The mention of revenue excluding assessed tax indicates a focus on the net revenue from performance obligations, characteristic of a contract-based recognition approach.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1800/000162828025007110/abt-20241231.htm,2025-09-02 16:47:21
INTERNATIONAL BUSINESS MACHINES CORPORATION,N/A,51143,N/A,Unknown,Unknown,62753000000,2024-12-31,1.44,ASC 606 Contract-based,ASC 606,Contract-based,8,"IBM's revenue recognition approach aligns with ASC 606, which emphasizes recognizing revenue when control of goods or services is transferred to customers. Given the nature of IBM's business, which includes a mix of hardware, software, and services, a contract-based method is appropriate as it allows for the recognition of revenue based on specific contractual agreements with customers. The slight revenue growth indicates stable demand, supporting the application of this method.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/51143/000005114325000015/ibm-20241231.htm,2025-09-02 16:48:08
ERROR: 'NoneType' object is not subscriptable,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,https://www.sec.gov/ix?doc=/Archives/edgar/data/886982/000088698225000005/gs-20241231.htm,2025-09-02 16:48:12
Linde plc,N/A,1707925,N/A,Unknown,Unknown,33005000000,2024-12-31,0.46,ASC 606 Contract-based,ASC 606,Contract-based,8,"Linde plc's revenue recognition approach aligns with ASC 606, as it involves recognizing revenue from contracts with customers based on the satisfaction of performance obligations. The definition provided indicates that revenue is recognized when control of the promised goods or services is transferred to the customer, which is consistent with the contract-based recognition pattern outlined in ASC 606.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1707925/000162828025007990/lin-20241231.htm,2025-09-02 16:48:15
AMERICAN EXPRESS COMPANY,N/A,4962,N/A,Unknown,Unknown,27819000000,2010-12-31,13.44,Mixed approach,Legacy GAAP,Transaction-based,7,"American Express recognizes revenue from various sources, including services rendered and investment income, which suggests a mixed approach to revenue recognition. Given the data provided and the absence of specific contracts or performance obligations typical of ASC 606, it is likely that the company adheres to legacy GAAP standards for its revenue recognition practices.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/4962/000000496225000016/axp-20241231.htm,2025-09-02 16:48:42
McDONALD’S CORPORATION,N/A,63908,N/A,Unknown,Unknown,25920000000,2024-12-31,1.67,Point-in-time,ASC 606,Point-in-time,8,"McDonald's recognizes revenue primarily at the point of sale when goods (food and beverages) are delivered to customers. This aligns with ASC 606, which emphasizes recognizing revenue when control of the goods transfers to the customer. The nature of McDonald's business model, which involves immediate consumption of products, supports this point-in-time recognition approach.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/63908/000006390825000012/mcd-20241231.htm,2025-09-02 16:49:08
RTX CORPORATION,N/A,101829,N/A,Unknown,Unknown,80738000000,2024-12-31,17.15,ASC 606 Contract-based,ASC 606,Contract-based,8,"RTX Corporation's revenue recognition approach likely aligns with ASC 606, which emphasizes recognizing revenue when control of goods or services is transferred to customers. Given the substantial revenue figure and growth rate, it suggests a structured approach to contracts and performance obligations, typical of industries that follow contract-based revenue recognition. However, without specific industry context, this analysis is based on general principles of ASC 606.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/101829/000010182925000005/rtx-20241231.htm,2025-09-02 16:49:17
WALT DISNEY CO/,N/A,1744489,N/A,Unknown,Unknown,91361000000,2024-09-28,2.77,Mixed approach,ASC 606,Mixed,8,"The Walt Disney Company's revenue recognition likely employs a mixed approach due to its diverse revenue streams, including media networks, parks, experiences, and products. Under ASC 606, revenue is recognized based on the transfer of control, which aligns with both point-in-time and over-time recognition patterns depending on the nature of the service or product delivered. The slight revenue growth of 2.77% suggests stable performance across these varied segments.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1744489/000174448924000276/dis-20240928.htm,2025-09-02 16:49:24
Blackstone Inc.,N/A,1393818,N/A,Unknown,Unknown,13229968000,2024-12-31,64.9,Mixed approach,ASC 606,Mixed,7,"Blackstone Inc. likely employs a mixed approach to revenue recognition due to its diverse revenue streams, which include investment income and trading gains. Under ASC 606, the recognition of revenue from different activities can vary, allowing for both point-in-time and over-time recognition depending on the nature of the transaction, which aligns with the company's reported revenue growth and complexity.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1393818/000119312525042469/d912273d10k.htm,2025-09-02 16:50:10
"Merck & Co., Inc.",N/A,310158,N/A,Unknown,Unknown,64168000000,2024-12-31,6.74,ASC 606 Contract-based,ASC 606,Mixed,8,"Merck & Co., Inc. likely utilizes the ASC 606 framework, which emphasizes recognizing revenue when control of goods or services is transferred to customers. Given the diverse nature of Merck's operations, including pharmaceuticals and potentially service contracts, a mixed recognition pattern is appropriate to accommodate various revenue streams. The revenue growth of 6.74% suggests effective revenue management under this standard.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/310158/000162828025007732/mrk-20241231.htm,2025-09-02 16:50:17
AT&T INC.,N/A,732717,N/A,Unknown,Unknown,122336000000,2024-12-31,282.04,Mixed approach,ASC 606,Mixed,7,"AT&T's revenue recognition likely involves a mixed approach due to its diverse revenue streams, including telecommunications services, equipment sales, and potentially subscription-based services. Under ASC 606, revenue is recognized when control of goods or services is transferred to customers, which aligns with both point-in-time and over-time recognition patterns depending on the nature of the service or product provided. The significant revenue growth suggests effective implementation of these recognition principles across various segments.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/732717/000073271725000013/t-20241231.htm,2025-09-02 16:50:24
CATERPILLAR INC,N/A,18230,N/A,Unknown,Unknown,64809000000,2024-12-31,-3.36,Mixed approach,ASC 606,Point-in-time,7,"Caterpillar Inc. likely employs a mixed approach to revenue recognition, as it generates revenue from both product sales and services, which can be recognized at different points in time. Given the nature of its operations, which include the sale of machinery and equipment, revenue is primarily recognized at the point of sale, aligning with ASC 606 guidelines. The slight decline in revenue growth may indicate challenges in the market or operational adjustments affecting sales.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/18230/000001823025000008/cat-20241231.htm,2025-09-02 16:50:51
"PepsiCo, Inc.",N/A,77476,N/A,Unknown,Unknown,91854000000,2024-12-28,0.42,Point-in-time,ASC 606,Point-in-time,8,"PepsiCo primarily recognizes revenue at the point of sale when goods are delivered to customers, which aligns with the ASC 606 standard. Given the nature of its business in selling consumer goods, the revenue recognition occurs when control of the product transfers to the customer, reflecting a point-in-time recognition pattern.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/77476/000007747625000007/pep-20241228.htm,2025-09-02 16:50:58
"UBER TECHNOLOGIES, INC.",N/A,1543151,N/A,Unknown,Unknown,43978000000,2024-12-31,17.96,Contract-based,ASC 606,Mixed,8,"UBER TECHNOLOGIES, INC. likely utilizes a contract-based revenue recognition method under ASC 606, as it primarily generates revenue from ride-sharing and delivery services, which involve contracts with customers. The mixed pattern reflects the combination of point-in-time recognition for completed rides and over-time recognition for subscription services like Uber Eats, aligning with the nature of their diverse revenue streams.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315125000008/uber-20241231.htm,2025-09-02 16:51:04
TEXAS INSTRUMENTS INCORPORATED,N/A,97476,N/A,Unknown,Unknown,15641000000,2024-12-31,-10.72,ASC 606 Contract-based,ASC 606,Point-in-time,8,"Texas Instruments recognizes revenue from contracts with customers upon the transfer of control of goods or services, which aligns with the ASC 606 standard. The definition provided indicates that revenue is recognized excluding taxes collected, suggesting a focus on the performance obligations fulfilled at a specific point in time. The negative revenue growth may indicate challenges in the market or operational issues impacting sales.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/97476/000009747625000007/txn-20241231.htm,2025-09-02 16:51:31
